,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
lobos,2,29075,31274,31260,23278,22759,24696,10222,10992,13407,6930,5880,6058,3473,2670,2199,2340,1085,844,1539,1459,766,943,576
veinticinco de mayo,2,29447,29770,30775,23492,22220,23290,8642,9878,12198,5837,5439,6601,4819,2984,2164,3908,1548,1421,1167,1069,479,655,475
bolivar,2,29450,29714,30369,24069,20817,24256,9288,9048,10795,8029,3041,2657,2994,1644,1177,2755,1301,1385,4957,7291,190,466,450
baradero,2,26387,28303,28451,19627,20812,22086,7015,7325,9655,7528,5661,5945,3858,3516,2796,2378,1943,2040,1175,1104,720,756,672
ramallo,2,26036,27378,27720,21360,19891,20983,7177,7549,9963,7278,5078,6606,3647,4986,3252,2591,1880,1268,602,732,475,741,495
salto,2,26670,28178,28505,20594,20074,20657,7042,7453,10130,6245,4714,5855,4202,3337,2082,2317,1928,1600,1863,1595,544,702,660
saladillo,2,26889,27410,27384,21451,20320,20912,10398,10432,12358,5033,4925,4855,2375,2231,1728,3291,1132,806,558,580,306,544,513
villa gesell,2,28350,28850,29546,20816,17709,19902,6828,6596,8637,7121,4604,6006,3189,3563,2306,1979,920,749,1206,881,487,795,695
exaltacion de la cruz,2,23561,27246,28055,17597,20714,22140,6357,7546,9770,5778,5069,5758,3731,2967,2079,1621,2386,2328,617,751,395,733,459
bartolome mitre,2,24018,24753,24379,19486,19223,19139,7856,8168,9582,6413,4601,5089,3021,2588,2051,1998,1158,1131,1551,1288,204,425,333
