,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
lomas de zamora,0590,2,34947,35942,37796,29028,27274,28580,11458,12177,14159,7547,7097,7913,4932,3968,2908,1123,673,389,1278,1297,1611,2272,1936
san nicolas,0901,2,37771,35888,36916,29564,25620,27790,11848,12896,15655,7431,5569,6277,5797,3736,2959,2127,1182,1158,1257,1140,707,1176,1184
florencio varela,0302A,2,36618,34945,39934,27165,25164,29647,3555,3912,6124,15297,13344,15972,5312,2642,2281,3197,1605,1738,1788,2195,663,1213,891
la matanza,0631D,2,34061,35185,36937,28089,27725,29457,5630,6377,8293,12719,12359,14508,5851,3674,2941,1999,1171,694,1446,1483,1062,1615,1227
moron,0669,2,36278,35222,37313,28861,26532,29226,13204,13157,15943,6503,5764,6558,4369,3298,2579,921,415,313,1223,1166,1252,2078,1538
balcarce,0098,2,33264,36948,36937,26319,26275,28885,12052,12786,15899,6536,5428,5399,4368,3424,2559,3186,2110,1568,2580,2747,374,684,537
bahia blanca,0076,2,33959,36827,36828,27165,26937,28346,9601,10873,13287,6682,6428,6679,4850,3668,2807,3246,1612,1289,2290,2697,1318,1718,1519
la matanza,0630,2,34961,34877,35581,27974,27017,28619,11318,11925,14189,7265,6699,7442,5770,4199,3226,984,515,355,1185,1108,1393,2085,1658
vicente lopez,0999,2,36192,35388,36781,28182,25902,28321,10692,10585,13387,7544,6518,7559,5394,3836,2903,1269,776,461,1235,1214,1107,1785,1310
general san martin,0377,2,35317,35643,35973,27582,26565,26406,10554,10833,13161,7449,6738,7639,5932,4626,3401,1457,801,440,1648,1586,1096,1539,1278
almirante brown,0022,2,34930,37495,40771,26288,24535,27904,6172,5669,8197,10290,9710,11799,5439,3925,3035,2069,1232,961,1438,1534,1104,1790,1339
moron,0672,2,34083,34065,34767,27570,27077,28130,12520,13025,15254,6775,6166,6908,4202,3861,2812,959,450,321,1237,1076,1130,1828,1344
san miguel,0397B,2,31958,34361,35048,26813,26984,28583,3827,6500,8110,12246,12602,13752,6211,3082,2413,3305,1823,1319,1223,1251,946,1409,1083
san isidro,0892A,2,32658,34380,34715,27103,26543,28056,11627,12899,15077,5881,5617,6446,5452,4280,3018,1386,777,629,1231,1156,1254,1734,1402
almirante brown,0020,2,35298,33466,33819,27388,24512,26356,8824,8245,10357,9202,7727,8865,5354,3697,2738,1556,907,583,1373,1364,1093,1680,1551
san miguel,0401A,2,32726,33430,33770,26520,25345,26719,11056,13442,15408,6063,5811,5995,5463,2914,2260,1462,735,552,820,913,936,1423,1175
esteban echeverria,0288,2,41244,36571,36571,26528,21853,23899,9794,9510,11240,5709,5145,5767,3845,3097,2127,1101,714,454,982,873,907,1437,1172
