,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
general la madrid,2,116.88000000000001,135.07,121.85999999999999,100.0,100.0,100.0,41.22,46.2,51.790000000000006,35.77,30.380000000000003,28.08,7.07,12.26,7.7700000000000005,12.770000000000001,7.6499999999999995,5.63,2.08,2.29,1.3,2.27,1.18
general las heras,2,126.72000000000001,126.33000000000001,120.83,100.0,100.0,100.0,27.810000000000002,29.43,37.72,35.980000000000004,30.020000000000003,30.4,26.369999999999997,25.6,22.07,8.4,5.07,4.12,4.18,3.52,1.92,2.82,1.9300000000000002
general lavalle,2,118.49000000000001,143.19,126.79,100.0,100.0,100.0,39.68,44.97,50.06,16.27,20.96,19.830000000000002,31.019999999999996,23.1,19.89,8.62,3.5999999999999996,4.18,1.82,2.17,0.9400000000000001,1.55,1.04
general paz,2,113.22000000000001,123.54,118.03999999999999,100.0,100.0,100.0,38.09,36.77,45.34,37.2,33.35,34.33,12.33,14.96,12.11,7.000000000000001,5.510000000000001,3.66,2.11,1.9900000000000002,1.35,2.03,1.8399999999999999
general pinto,2,131.19,129.99,121.12,100.0,100.0,100.0,35.339999999999996,34.260000000000005,38.47,39.879999999999995,14.26,12.73,17.16,37.49,37.09,13.11,6.75,5.33,3.4000000000000004,2.65,3.35,2.74,3.0
general pueyrredon,2,138.82000000000002,152.56,141.62,100.0,100.0,100.0,38.96,43.669999999999995,48.92,29.720000000000002,24.89,27.83,16.56,13.13,9.719999999999999,8.23,6.1899999999999995,3.42,4.9,4.34,3.54,5.59,3.85
general rodriguez,2,124.30000000000001,137.29,131.99,100.0,100.0,100.0,29.25,28.749999999999996,35.92,34.01,32.29,36.97,20.8,16.61,11.04,10.74,7.31,4.569999999999999,5.140000000000001,4.61,2.44,3.95,2.75
general san martin,2,132.48,142.65,137.14,100.0,100.0,100.0,31.53,33.73,40.07,32.2,30.009999999999998,33.79,21.91,17.07,11.67,6.550000000000001,3.6799999999999997,2.3,7.53,6.5,4.15,5.84,4.9
general viamonte,2,120.30000000000001,129.29,124.96000000000001,100.0,100.0,100.0,37.69,41.33,50.29,31.900000000000002,32.76,32.48,15.329999999999998,11.64,8.110000000000001,11.379999999999999,5.1,3.37,3.73,3.0,1.1199999999999999,1.8900000000000001,1.32
general villegas,2,122.54,137.37,129.57,100.0,100.0,100.0,37.88,41.57,50.849999999999994,15.89,14.899999999999999,15.55,33.09,26.96,22.06,10.63,5.5,4.8,6.909999999999999,3.62,1.3599999999999999,2.19,1.43
guamini,2,121.95,131.09,129.34,100.0,100.0,100.0,40.47,43.82,49.05,40.62,28.46,32.17,8.62,12.740000000000002,11.12,11.04,9.33,6.569999999999999,2.21,2.12,0.88,1.7399999999999998,1.3
hipolito yrigoyen,2,128.83,137.79999999999998,129.06,100.0,100.0,100.0,42.6,44.56,46.68,36.55,16.1,18.62,9.120000000000001,7.3999999999999995,4.95,13.900000000000002,7.739999999999999,7.39,19.89,19.040000000000003,0.8099999999999999,1.4500000000000002,1.26
hurlingham,2,128.32,135.15,129.68,100.0,100.0,100.0,28.110000000000003,33.45,38.3,35.35,33.85,37.059999999999995,23.799999999999997,14.799999999999999,10.37,6.18,3.8699999999999997,2.1399999999999997,5.59,4.9,4.3999999999999995,6.1,4.65
ituzaingo,2,123.29,132.13,126.24,100.0,100.0,100.0,30.43,34.31,40.239999999999995,32.769999999999996,32.41,33.97,20.669999999999998,15.840000000000002,10.89,5.24,3.36,3.04,5.21,4.4799999999999995,4.2,5.7700000000000005,4.77
jose c. paz,2,128.21,140.85000000000002,133.09,100.0,100.0,100.0,18.78,22.400000000000002,27.47,45.550000000000004,44.59,48.03,21.44,14.45,9.629999999999999,9.8,6.05,3.91,4.52,4.3999999999999995,3.93,5.2,4.16
junin,2,131.15,138.3,133.69,100.0,100.0,100.0,38.36,43.49,51.67,27.08,23.75,27.42,22.52,15.76,11.25,10.85,5.66,3.9699999999999998,5.680000000000001,4.42,2.2399999999999998,3.5900000000000003,2.67
la costa,2,130.41,150.45,138.85,100.0,100.0,100.0,36.29,40.18,45.21,31.2,29.03,30.7,15.709999999999999,12.389999999999999,8.85,7.79,5.7700000000000005,4.83,3.5900000000000003,3.75,2.74,3.91,3.94
la matanza,2,131.70999999999998,138.7,133.45,100.0,100.0,100.0,22.31,24.08,28.78,45.11,44.24,46.88,19.17,12.7,8.94,6.65,3.82,2.27,5.27,4.81,3.84,5.37,4.42
la plata,2,129.25,141.70000000000002,135.54,100.0,100.0,100.0,38.06,42.02,48.03,27.24,24.97,27.139999999999997,15.47,12.46,8.61,5.88,3.6799999999999997,3.16,6.6000000000000005,5.489999999999999,5.01,6.6000000000000005,6.39
lanus,2,133.65,138.85,132.46,100.0,100.0,100.0,33.650000000000006,35.260000000000005,40.5,35.83,33.67,37.24,20.03,14.219999999999999,10.059999999999999,4.9399999999999995,3.5900000000000003,2.02,5.59,4.26,4.04,5.93,5.11
