,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
azul,0068,2,120.83,inf,166.67000000000002,100.0,,100.0,58.330000000000005,inf,55.559999999999995,12.5,inf,33.33,12.5,inf,5.56,4.17,inf,0.0,,0.0,,0.0,4.17
azul,0069,2,166.67000000000002,190.91,166.67000000000002,100.0,100.0,100.0,58.330000000000005,63.63999999999999,83.33,8.33,0.0,8.33,8.33,18.18,8.33,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0
bahia blanca,0072,2,192.53,145.04999999999998,132.17000000000002,100.0,100.0,100.0,43.6,55.779999999999994,61.28,15.28,15.75,15.52,10.96,10.85,7.55,6.81,4.5600000000000005,2.59,6.72,6.29,4.3,5.81,4.79
bahia blanca,0073,2,129.05,182.86,169.18,100.0,100.0,100.0,45.68,48.339999999999996,50.86000000000001,20.49,18.96,17.7,13.55,10.81,7.55,8.42,4.03,2.79,6.75,7.1,4.73,5.489999999999999,5.7299999999999995
bahia blanca,0074,2,125.08999999999999,131.72,132.07999999999998,100.0,100.0,100.0,37.49,41.660000000000004,49.35,23.04,21.23,22.2,18.529999999999998,13.100000000000001,10.09,12.26,5.58,4.47,8.799999999999999,9.44,5.0,6.84,5.66
bahia blanca,0075,2,136.86,140.73,126.05,100.0,100.0,100.0,50.160000000000004,51.949999999999996,56.89999999999999,21.05,17.130000000000003,17.4,16.07,12.57,8.260000000000002,9.56,3.4099999999999997,2.92,8.67,7.57,4.75,6.29,6.419999999999999
bahia blanca,0076,2,125.01,136.72,129.92,100.0,100.0,100.0,35.339999999999996,40.36,46.87,24.6,23.86,23.56,17.849999999999998,13.62,9.9,11.95,5.9799999999999995,4.55,8.5,9.51,4.89,6.0600000000000005,5.59
bahia blanca,0077,2,123.91000000000001,134.01000000000002,131.25,100.0,100.0,100.0,35.56,40.849999999999994,48.41,24.740000000000002,23.72,23.54,17.76,13.03,9.87,13.22,5.27,4.64,6.59,7.53,3.2800000000000002,4.71,4.42
bahia blanca,0078,2,146.23,130.10999999999999,126.54,100.0,100.0,100.0,58.97,55.60000000000001,61.31999999999999,21.07,15.9,15.86,13.239999999999998,9.67,6.959999999999999,9.42,3.26,2.6100000000000003,7.109999999999999,6.5600000000000005,4.859999999999999,5.96,7.31
bahia blanca,0079,2,131.44,128.65,128.25,100.0,100.0,100.0,41.6,48.91,55.69,22.82,19.13,19.97,13.719999999999999,9.700000000000001,7.449999999999999,9.51,5.16,2.8400000000000003,7.04,6.99,4.2,5.64,5.5
