dpto_merger_str,circuito,PROV_REF_ID,ELECTORES,VOTANTES,CAMBIEMOS,UNIDAD CIUDADANA,1PAIS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,VOTOS BLANCOS
san isidro,0889,2,26021.0,20201.0,11545.0,4506.0,2005.0,1009.0,694.0,590.0
san miguel,0402,2,25636.0,20555.0,8081.0,8075.0,1580.0,903.0,761.0,903.0
mercedes,0638,2,25641.0,20311.0,11735.0,4325.0,1754.0,851.0,881.0,470.0
lincoln,0554,2,26049.0,19461.0,10338.0,4911.0,1888.0,613.0,1345.0,813.0
comuna 08,0087,1,30070.0,17844.0,7403.0,8395.0,,1455.0,,215.0
san miguel,0400,2,25075.0,19860.0,10666.0,4867.0,1818.0,1235.0,802.0,424.0
comuna 07,0086,1,28702.0,19750.0,7005.0,7176.0,,1449.0,,225.0
almirante brown,0017,2,25333.0,19025.0,12108.0,3653.0,1369.0,1148.0,717.0,256.0
bahia blanca,0073,2,29580.0,17484.0,8892.0,3095.0,1320.0,960.0,1242.0,487.0
florencio varela,0303B,2,24872.0,18480.0,4706.0,9235.0,1831.0,804.0,1243.0,1356.0
lobos,0574,2,24017.0,19048.0,10283.0,4608.0,1691.0,778.0,1118.0,651.0
saladillo,0846,2,24557.0,18769.0,11146.0,4346.0,1520.0,501.0,513.0,724.0
quilmes,0784,2,24387.0,18955.0,9939.0,4807.0,1688.0,1161.0,739.0,297.0
zarate,1014,2,24712.0,17498.0,6520.0,8246.0,2331.0,772.0,685.0,962.0
salto,0854,2,24708.0,17871.0,8477.0,5252.0,1827.0,626.0,1410.0,1448.0
comuna 06,0070,1,26172.0,19640.0,9639.0,4270.0,,1289.0,,153.0
baradero,0105,2,23565.0,18245.0,8193.0,4825.0,2302.0,659.0,862.0,1754.0
comuna 14,0151,1,26530.0,17279.0,13766.0,1985.0,,644.0,,138.0
dolores,0282,2,23773.0,18146.0,10305.0,4259.0,1742.0,448.0,851.0,817.0
moreno,0664,2,24111.0,18327.0,6304.0,6859.0,2064.0,986.0,979.0,595.0
comuna 14,0154,1,27502.0,16726.0,10847.0,3794.0,,1190.0,,155.0
bahia blanca,0086,2,23463.0,18314.0,9971.0,3436.0,1617.0,1182.0,1498.0,618.0
bartolome mitre,0117,2,23081.0,18090.0,8969.0,4880.0,1963.0,403.0,1220.0,1085.0
comuna 14,0149,1,25430.0,17616.0,13069.0,1902.0,,626.0,,98.0
san vicente,0924,2,22972.0,17777.0,6840.0,5225.0,2583.0,577.0,1169.0,1503.0
comuna 12,0129,1,25359.0,17620.0,10464.0,3876.0,,1112.0,,146.0
