Código Partido;Denominacion;Lista Interna;Agrupación
0612;NUEVO ZARATE                                                                                        ;                                                                                                    ;0612
0661;NUEVO SOCIALISMO MARPLATENSE                                                                        ;                                                                                                    ;0661
0673;CONSTRUC.SOCIAL PARTICIPATIVA                                                                       ;                                                                                                    ;0673
0697;ACCION POR VILLARINO                                                                                ;                                                                                                    ;0697
0705;CON VOCACION POR SAN ISIDRO                                                                         ;                                                                                                    ;0705
0737;PROPIN-PROPUESTA PINAMAR                                                                            ;                                                                                                    ;0737
0738;MIC-MERCEDES INDEPENDIENTE COMUNAL                                                                  ;                                                                                                    ;0738
0750;TODOS VECINOS                                                                                       ;                                                                                                    ;0750
0751;CAS-CONCORDANCIA APERTURISTA SALTENSE                                                               ;                                                                                                    ;0751
0758;UNOS-UNA NUEVA OPORTUNIDAD SUARENSE                                                                 ;                                                                                                    ;0758
0760;VIVILO-VECINOS INDEPENDIENTES                                                                       ;                                                                                                    ;0760
0782;UNIDAD PACEÑA                                                                                       ;                                                                                                    ;0782
0792;UNION VECINAL SALLIQUELO                                                                            ;                                                                                                    ;0792
0793;VECINOS SOLIDARIOS                                                                                  ;                                                                                                    ;0793
0797;ENTRE TODOS                                                                                         ;                                                                                                    ;0797
0806;SUR EN MARCHA                                                                                       ;                                                                                                    ;0806
0807;GEM CATAMARCA                                                                                       ;                                                                                                    ;0807
0809;CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO)                                                      ;                                                                                                    ;0809
0810;FRENTE UNION FEDERAL                                                                                ;                                                                                                    ;0810
0811;VAMOS                                                                                               ;                                                                                                    ;0811
0812;VAMOS CREANDO CIUDAD NUEVA                                                                          ;                                                                                                    ;0812
0813;PARTIDO SOCIALISTA                                                                                  ;                                                                                                    ;0813
0814;PARTIDO RENOVADOR FEDERAL                                                                           ;                                                                                                    ;0814
0815;MAC-MISION, ACC. Y COMPROMISO                                                                       ;                                                                                                    ;0815
